da_id,population_2016,population_0_to_14,percent_children
35430798,439,65,0.1481
35560219,759,155,0.2042
35480187,676,110,0.1627
35580203,339,35,0.1032
35212062,4543,1055,0.2322
35370792,432,85,0.1968
35200379,558,95,0.1703
35203208,400,85,0.2125
35110074,482,75,0.1556
35180800,1500,300,0.2
35120330,553,45,0.0814
35203384,536,60,0.1119
35202226,464,75,0.1616
35430934,789,140,0.1774
35480200,1593,290,0.182
35211477,765,105,0.1373
35400131,485,105,0.2165
35300947,350,55,0.1571
35430800,511,95,0.1859
35320246,558,85,0.1523
35570062,544,80,0.1471
35100332,563,70,0.1243
35060607,352,40,0.1136
35140154,421,40,0.095
35190218,906,120,0.1325
35201577,447,65,0.1454
35120271,1752,365,0.2083
35190694,507,95,0.1874
35190223,368,40,0.1087
35204345,645,130,0.2016
35430932,835,65,0.0778
35211338,260,30,0.1154
35240835,520,75,0.1442
35230296,527,90,0.1708
35340160,664,180,0.2711
35260636,580,100,0.1724
35570299,879,145,0.165
35250078,400,50,0.125
35530251,1133,145,0.128
35370143,1186,235,0.1981
35240063,139,20,0.1439
35260323,514,80,0.1556
35210003,930,150,0.1613
35240417,620,45,0.0726
35203989,1634,175,0.1071
35204311,1545,120,0.0777
35190564,690,95,0.1377
35110110,401,60,0.1496
35201976,660,90,0.1364
35180510,677,105,0.1551
35203348,883,210,0.2378
35191033,1069,155,0.145
35120239,341,30,0.088
35190526,419,60,0.1432
35130079,522,70,0.1341
35130053,845,70,0.0828
35150298,708,80,0.113
35210704,413,60,0.1453
35260007,474,80,0.1688
35250713,402,70,0.1741
35280332,1024,180,0.1758
35240374,427,60,0.1405
35250498,525,50,0.0952
35250222,535,85,0.1589
35203872,385,50,0.1299
35060972,3064,150,0.049
35201389,1012,165,0.163
35202460,397,45,0.1134
35180402,243,25,0.1029
35060816,256,40,0.1563
35290017,334,60,0.1796
35301005,1490,390,0.2617
35530250,2577,255,0.099
35230064,448,70,0.1563
35211242,799,110,0.1377
35204136,1117,205,0.1835
35120286,635,80,0.126
35201517,538,75,0.1394
35061703,932,75,0.0805
35180321,507,55,0.1085
35201666,490,80,0.1633
35191013,1073,235,0.219
35320189,591,95,0.1607
35204463,573,50,0.0873
35370112,475,40,0.0842
35250051,1312,170,0.1296
35480064,475,80,0.1684
35300408,505,75,0.1485
35260450,508,55,0.1083
35300097,588,90,0.1531
35201360,667,95,0.1424
35201059,519,40,0.0771
35020153,555,115,0.2072
35201408,513,80,0.1559
35430604,400,75,0.1875
35230110,943,130,0.1379
35240345,499,70,0.1403
35204331,1324,390,0.2946
35100174,621,40,0.0644
35190831,404,50,0.1238
35061141,748,135,0.1805
35201317,442,60,0.1357
35204188,569,65,0.1142
35060455,430,50,0.1163
35202281,597,155,0.2596
35060871,328,50,0.1524
35490197,553,60,0.1085
35390590,150,15,0.1
35211643,610,125,0.2049
35211757,617,125,0.2026
35260564,855,125,0.1462
35390634,562,65,0.1157
35390413,558,100,0.1792
35390790,831,225,0.2708
35370108,685,105,0.1533
35180087,818,155,0.1895
35190041,755,125,0.1656
35020179,419,60,0.1432
35100136,764,115,0.1505
35070186,1473,190,0.129
35190140,420,35,0.0833
35181147,1040,230,0.2212
35191103,571,100,0.1751
35250602,485,45,0.0928
35370525,1366,235,0.172
35580164,553,70,0.1266
35530066,536,25,0.0466
35431179,415,70,0.1687
35360258,647,25,0.0386
35211230,298,45,0.151
35380053,926,165,0.1782
35211936,502,135,0.2689
35370322,455,90,0.1978
35260716,543,85,0.1565
35204209,176,15,0.0852
35090165,446,50,0.1121
35061152,349,55,0.1576
35181226,435,60,0.1379
35181154,934,230,0.2463
35360366,651,145,0.2227
35300513,575,105,0.1826
35600361,485,60,0.1237
35230430,475,80,0.1684
35431156,469,80,0.1706
35250126,611,120,0.1964
35201514,723,100,0.1383
35070326,522,55,0.1054
35200095,541,75,0.1386
35191179,504,105,0.2083
35150288,510,70,0.1373
35060899,2251,490,0.2177
35211088,354,70,0.1977
35211663,1482,265,0.1788
35430808,482,75,0.1556
35390375,294,35,0.119
35230322,485,80,0.1649
35210733,333,30,0.0901
35420276,627,130,0.2073
35390663,336,45,0.1339
35570177,838,105,0.1253
35250084,349,60,0.1719
35250463,398,50,0.1256
35390300,425,100,0.2353
35212057,5523,1270,0.2299
35440215,557,90,0.1616
35210014,333,40,0.1201
35201516,658,130,0.1976
35202566,852,125,0.1467
35202131,844,170,0.2014
35190377,603,70,0.1161
35201738,472,65,0.1377
35160191,916,15,0.0164
35390909,586,140,0.2389
35390816,435,70,0.1609
35210214,489,75,0.1534
35431212,554,90,0.1625
35201869,421,50,0.1188
35070164,592,115,0.1943
35160102,512,60,0.1172
35160109,458,90,0.1965
35190242,506,70,0.1383
35204422,508,80,0.1575
35240271,251,45,0.1793
35251003,388,75,0.1933
35211269,429,70,0.1632
35600295,416,115,0.2764
35250179,638,100,0.1567
35570131,480,70,0.1458
35230220,559,110,0.1968
35020185,581,185,0.3184
35202110,791,85,0.1075
35140140,469,70,0.1493
35090207,591,100,0.1692
35204012,860,140,0.1628
35250836,402,50,0.1244
35250878,513,90,0.1754
35600206,0,NULL,NULL
35210645,795,135,0.1698
35211788,796,170,0.2136
35250045,422,45,0.1066
35430596,471,45,0.0955
35230329,430,90,0.2093
35210379,384,40,0.1042
35211276,334,35,0.1048
35260430,406,45,0.1108
35210417,1018,100,0.0982
35300996,917,185,0.2017
35240192,599,85,0.1419
35180872,451,70,0.1552
35180482,375,65,0.1733
35190254,509,75,0.1473
35070301,504,85,0.1687
35240942,783,220,0.281
35431194,473,80,0.1691
35210806,421,45,0.1069
35240337,412,75,0.182
35260448,499,75,0.1503
35140128,590,90,0.1525
35190724,636,105,0.1651
35061035,440,90,0.2045
35202367,717,185,0.258
35203866,663,105,0.1584
35203445,593,90,0.1518
35190404,329,55,0.1672
35200700,302,40,0.1325
35203175,2543,150,0.059
35570100,348,45,0.1293
35300838,440,60,0.1364
35530330,622,110,0.1768
35370099,1345,55,0.0409
35290084,426,85,0.1995
35360470,364,80,0.2198
35250729,415,55,0.1325
35210015,838,115,0.1372
